IDNUM,PROV,ESTRATOPRI,apoyo_golpe,apoyo_cierre,lider_fuerte,limitar_oposicion,cinismo_democ,prioridad_seguridad,victima_delito,percep_inseguridad,sexo_mujer,educacion_anos,ingresos_rango
6899,1109,1107,0,0,2,1,7,0,0,1,1,3,1101
8466,1109,1107,1,0,3,5,2,0,0,1,0,4,1107
5303,1109,1107,1,0,4,3,3,0,0,1,1,4,1102
9203,1109,1107,0,0,2,5,1,0,0,2,1,5,1107
5255,1109,1107,0,1,4,3,4,0,0,2,0,4,1109
6353,1109,1107,1,0,3,3,6,0,1,3,0,3,1101
1494,1109,1107,0,0,4,4,4,0,0,3,1,3,1101
8666,1109,1107,1,0,2,2,7,0,1,3,0,3,1103
6067,1109,1107,0,1,2,1,2,0,0,1,1,6,1113
7445,1109,1107,1,1,3,1,3,0,1,2,0,4,1102
4782,1106,1106,1,0,3,4,4,0,0,2,0,4,1101
6113,1106,1106,1,1,2,5,3,1,0,2,1,4,1103
5347,1106,1106,0,1,3,1,6,0,0,1,0,1,1101
6721,1106,1106,0,0,2,1,1,0,0,1,1,0,1101
3915,1106,1106,1,0,2,2,6,0,0,3,0,1,1102
459,1106,1106,0,0,1,2,1,0,0,1,0,3,1106
4719,1106,1106,0,0,4,3,4,0,0,2,0,4,1105
2438,1106,1106,0,0,3,1,6,0,0,2,1,2,1102
2546,1106,1106,0,0,3,4,2,0,0,1,1,4,1101
469,1106,1106,1,1,2,6,5,0,0,3,0,2,1101
5304,1106,1106,1,1,3,5,6,0,0,2,1,2,1101
8058,1106,1106,0,1,3,4,1,0,0,1,1,4,1103
4648,1105,1107,1,1,4,1,3,0,0,3,0,6,1115
1147,1105,1107,1,0,1,2,3,0,1,2,1,6,1115
2200,1105,1107,1,1,4,1,4,0,0,2,1,3,1102
1830,1105,1107,1,0,2,2,3,0,0,4,0,5,1111
3147,1105,1107,0,0,4,4,4,0,0,2,0,5,1107
6886,1105,1107,1,0,3,4,4,0,0,3,1,5,1108
2691,1105,1107,0,1,3,2,6,0,0,2,0,2,1104
3872,1105,1107,0,0,2,7,5,0,1,3,0,6,1110
2490,1105,1107,0,1,3,3,3,0,0,2,1,2,1105
3816,1105,1107,0,0,3,3,3,0,0,3,0,4,1106
6182,1105,1107,0,0,1,5,2,0,0,4,1,4,1106
7679,1105,1107,1,0,3,5,3,0,0,3,1,6,1107
3696,1105,1107,0,0,3,2,3,0,0,1,0,4,1104
247,1105,1107,0,0,2,1,3,0,1,3,0,4,1108
3832,1105,1107,1,0,3,4,3,0,0,3,1,4,1103
4379,1105,1107,1,1,3,2,6,0,0,3,0,4,1103
7723,1105,1107,0,0,3,2,4,0,0,1,1,1,1104
3941,1105,1107,0,0,2,4,3,0,0,3,0,4,1103
1572,1105,1107,0,0,3,4,3,0,1,2,0,6,1105
4859,1105,1107,1,1,2,3,5,0,1,3,1,4,1106
7597,1105,1107,1,1,3,6,4,0,0,2,1,4,1102
6036,1105,1107,0,0,3,1,1,0,1,2,0,6,1113
9511,1105,1107,1,1,3,2,4,0,0,2,1,1,1102
3710,1105,1107,1,1,2,2,1,0,0,3,1,4,1104
2784,1105,1107,0,0,4,3,3,0,0,3,0,6,1113
8392,1115,1103,0,0,4,3,2,0,0,2,0,6,1115
4249,1115,1103,0,0,3,2,1,0,0,2,1,6,1115
8587,1115,1103,0,0,2,1,1,0,0,2,0,5,1114
3221,1115,1103,0,0,3,1,5,0,0,2,1,4,1104
6047,1115,1103,1,0,3,4,3,0,0,4,0,5,1110
1782,1115,1103,0,0,3,2,2,0,0,2,1,5,1104
9051,1115,1103,1,0,4,3,4,0,1,2,1,6,1106
3195,1115,1103,0,1,2,2,2,0,0,3,1,4,1113
258,1115,1103,0,0,3,4,3,0,0,2,1,6,1115
621,1115,1103,0,0,4,2,1,0,0,2,0,6,1115
3133,1115,1103,1,0,3,4,2,0,1,3,0,6,1115
4892,1115,1103,0,0,1,2,3,0,0,2,1,4,1105
