id,departamento,region_macro,actitud_lider,actitud_oposicion,actitud_cinismo,golpe_raw,actitud_golpe,cierre_raw,actitud_cierre,prioriza_seguridad,miedo_barrio,victima_crimen,confianza_policia,mujer,educacion,ingresos
3089,Cusco,Sierra Sur,4,1,7,1,1,2,0,0,3,0,1,1,4,1101
111,Cusco,Sierra Sur,2,5,2,2,0,2,0,0,3,0,5,1,6,1108
4503,Cusco,Sierra Sur,3,4,5,2,0,1,1,0,2,0,4,1,6,1109
9619,Cusco,Sierra Sur,3,1,7,1,1,1,1,0,3,0,1,1,2,1104
6598,Cusco,Sierra Sur,3,5,3,1,1,2,0,0,4,0,7,1,4,1106
2760,Cusco,Sierra Sur,3,1,5,2,0,2,0,0,2,1,4,0,6,1115
8169,Cusco,Sierra Sur,2,4,1,2,0,2,0,0,1,0,1,0,6,1112
1853,Cusco,Sierra Sur,2,1,2,2,0,2,0,0,2,1,1,0,6,
3506,Cusco,Sierra Sur,2,2,3,2,0,2,0,0,2,1,3,0,6,1111
8113,Cusco,Sierra Sur,4,4,1,1,1,1,1,0,2,0,1,1,4,1107
4075,Cusco,Sierra Sur,3,5,4,2,0,2,0,0,2,0,4,0,5,1110
4618,San Martín,Selva,3,4,5,2,0,2,0,0,2,0,1,1,4,1106
2765,Loreto,Selva,3,2,4,2,0,2,0,0,2,0,2,1,4,1104
8734,Loreto,Selva,2,4,5,2,0,2,0,0,3,0,3,1,4,1102
5982,San Martín,Selva,1,1,6,2,0,2,0,0,3,0,1,0,3,1103
1675,Loreto,Selva,1,7,1,2,0,2,0,0,2,0,3,0,6,1108
3185,Loreto,Selva,5,3,1,2,0,2,0,0,1,0,1,0,6,1113
4037,San Martín,Selva,4,2,5,2,0,2,0,0,2,0,2,1,4,1105
7398,San Martín,Selva,1,4,2,2,0,1,1,0,1,0,1,1,1,1102
9572,Loreto,Selva,3,4,3,2,0,2,0,0,3,1,3,0,5,1112
8275,San Martín,Selva,4,7,5,1,1,2,0,0,1,1,5,0,3,1106
5434,San Martín,Selva,3,2,3,2,0,1,1,0,1,0,7,0,2,1103
2477,Loreto,Selva,4,2,2,1,1,2,0,0,3,0,4,0,4,1110
7099,San Martín,Selva,2,4,2,2,0,1,1,0,3,0,2,0,4,1103
9058,San Martín,Selva,3,5,3,1,1,1,1,0,4,0,1,0,4,1106
1655,San Martín,Selva,3,4,3,2,0,1,1,0,2,0,1,1,6,1106
773,San Martín,Selva,3,4,4,2,0,2,0,0,2,1,4,0,4,1104
4131,San Martín,Selva,4,4,5,2,0,1,1,0,1,0,3,1,3,1104
2228,San Martín,Selva,3,2,5,2,0,2,0,0,3,0,2,0,6,1113
4577,Loreto,Selva,4,4,3,2,0,2,0,0,2,0,4,1,6,1112
2465,San Martín,Selva,2,1,6,2,0,2,0,0,,0,1,1,3,1104
3508,San Martín,Selva,1,5,3,1,1,2,0,0,4,1,5,1,4,1105
5979,Loreto,Selva,3,3,1,2,0,1,1,0,2,1,4,0,4,1114
7142,Loreto,Selva,4,5,3,1,1,1,1,0,3,0,5,0,3,1106
3726,San Martín,Selva,4,3,3,2,0,1,1,0,1,0,4,0,4,1106
8901,Huánuco,Sierra Centro,2,1,7,2,0,2,0,0,4,0,6,1,2,1101
1905,Huánuco,Sierra Centro,1,5,1,2,0,1,1,0,3,0,6,1,6,1104
3767,Huánuco,Sierra Centro,3,1,1,2,0,2,0,0,4,0,5,1,5,1101
5194,Huánuco,Sierra Centro,3,3,4,1,1,2,0,0,4,1,1,0,5,1103
4264,Huánuco,Sierra Centro,4,5,6,1,1,1,1,0,2,0,1,0,6,1108
2323,Huánuco,Sierra Centro,3,4,5,2,0,2,0,0,3,0,2,0,6,1108
1000,Huánuco,Sierra Centro,4,2,4,1,1,1,1,0,3,0,3,1,4,1107
4855,Huánuco,Sierra Centro,3,4,4,1,1,2,0,0,3,0,1,0,6,1112
8752,Huánuco,Sierra Centro,3,2,4,2,0,2,0,0,3,0,3,1,6,1108
335,Huánuco,Sierra Centro,3,2,2,1,1,1,1,1,3,0,2,0,4,1110
1114,Huánuco,Sierra Centro,2,5,1,2,0,1,1,0,4,1,4,1,4,1104
1978,Lima,Lima Metropolitana,5,1,1,2,0,1,1,0,3,0,5,0,4,1112
3987,Lima,Lima Metropolitana,1,6,2,2,0,2,0,0,1,0,7,0,4,1105
2999,Lima,Lima Metropolitana,2,1,4,2,0,2,0,0,3,1,2,1,5,1113
48,Lima,Lima Metropolitana,3,5,3,2,0,2,0,0,2,1,5,1,5,1109
659,Lima,Lima Metropolitana,2,1,1,2,0,2,0,0,3,0,3,0,4,1110
4363,Lima,Lima Metropolitana,2,4,3,2,0,2,0,0,3,0,1,1,6,1115
